answer_md,category,question,url
"Voluntary top-ups cannot be made solely to the Ordinary Account.
You can make voluntary top-ups to:
1. Special / Retirement Account only under the [Retirement Sum Topping Up Scheme (RSTU)](/member/growing-your-savings/saving-more-with-cpf/top-up-to-enjoy-higher-retirement-payouts) (tax relief available).
2. [All three CPF accounts (no tax relief given)](https://www.cpf.gov.sg/member/growing-your-savings/saving-more-with-cpf/top-up-ordinary-special-and-medisave-savings)
3. [MediSave Account only (tax relief available for Giver)](https://www.cpf.gov.sg/member/growing-your-savings/saving-more-with-cpf/top-up-your-medisave-savings)
Voluntary top-up is applicable to Singapore Citizens and Permanent Residents only.
You can [find out](https://www.cpf.gov.sg/member/faq/growing-your-savings/retirement-sum-topping-up-scheme/what-are-the-differences-between-topping-up-my-retirement-saving) more on which voluntary top-up is applicable to you.",top-up-your-medisave-account-to-save-more-for-healthcare-needs,Can I voluntarily top-up to my Ordinary Account only?,https://www.cpf.gov.sg/member/faq/growing-your-savings/top-up-your-medisave-account-to-save-more-for-healthcare-needs/can-i-voluntarily-top-up-to-my-ordinary-account-only
Voluntary top-ups made are irreversible.,top-up-your-medisave-account-to-save-more-for-healthcare-needs,Is my voluntary top-up to the MediSave Account reversible?,https://www.cpf.gov.sg/member/faq/growing-your-savings/top-up-your-medisave-account-to-save-more-for-healthcare-needs/is-my-voluntary-top-up-reversible
"Voluntary top-ups to your MediSave Account for non self-employed person via PayNow QR is generally processed almost immediately.
If the top-up amount is not reflected in your CPF accounts, please check your CPF account balance after five working days as more time may be needed to process the transaction. Such cases are extremely rare and may arise due to intermittent network connectivity issues beyond CPF Board's control.
Please alert us immediately if your payment is still not updated in your CPF account balance after five working days.",top-up-your-medisave-account-to-save-more-for-healthcare-needs,How long does it take to process voluntary top-ups application to my MediSave Account?,https://www.cpf.gov.sg/member/faq/growing-your-savings/top-up-your-medisave-account-to-save-more-for-healthcare-needs/service-standards-for-processing-voluntary-top-ups-to-medisave
"When you make voluntary cash top-ups to (i) your MediSave Account or (ii) your loved ones (who are not self-employed persons with outstanding MediSave liabilities), you can enjoy tax relief for cash top-ups made in each calendar year of up to:
1. $ 8,000 if you make a top-up to yourself ; and
2. an additional $ 8,000 if you make a cash top-up to your loved ones \*.
\* *Loved ones refer to parents, parents-in-law, grandparents, grandparents-in-law, spouse and siblings*.
*To qualify for tax relief for cash top-ups made to spouse/siblings, the recipient must (i) not have an annual income exceeding $4,000 in the year preceding the year of cash top-up (e.g. salary, tax exempt income such as bank interest, dividends and pension), or (ii) be handicapped.*
Please note the above tax relief cap applies to both voluntary cash top-ups to MediSave Account and Special/Retirement Account. You can find out more on the [conditions to qualify for tax relief.](https://www.cpf.gov.sg/member/faq/growing-your-savings/retirement-sum-topping-up-scheme/what-are-the-conditions-for-me-to-enjoy-tax-relief-)",top-up-your-medisave-account-to-save-more-for-healthcare-needs,Do I get tax relief for my voluntary top-up to my or my loved ones' MediSave Account?,https://www.cpf.gov.sg/member/faq/growing-your-savings/top-up-your-medisave-account-to-save-more-for-healthcare-needs/do-i-get-tax-relief-for-my-voluntary-top-up-to-my-medisave
"You can make a top-up via [e-Cashier](https://www.cpf.gov.sg/eSvc/Web/Miscellaneous/Cashier/ECashierHomepage) using PayNow QR\*.
Please note that you will need to be at least 16 years old if you are topping up to yourself or your loved ones' MediSave Accounts. If you are a parent topping up for your child's MediSave Accounts, please provide your own NRIC/CPF Account Number on the first page of e-Cashier to indicate yourself as the Giver. You will be prompted to key in your Recipient's NRIC/CPF Account Number subsequently.
Top-up is applicable to Singapore Citizens and Permanent Residents only. You are encouraged to make top-ups early. All applications and payments should reach CPF Board by 31st December of the year to enjoy tax relief for the following year, s Tax Assessment. Backdating of top-ups to previous years is, *not allowed.*
Please note that there is no tax relief for top-ups made to your children. Find out more about [tax relief](https://www.cpf.gov.sg/member/faq/growing-your-savings/top-up-your-medisave-account-to-save-more-for-healthcare-needs/do-i-get-tax-relief-for-my-voluntary-top-up-to-my-medisave) for your MediSave top-ups.
If you are making top-ups as a self-employed person, you can refer to the [Self-Employed Scheme](https://www.cpf.gov.sg/member/growing-your-savings/cpf-contributions/saving-as-a-self-employed-person) for more information.
You can find out more on which [voluntary top-up](https://www.cpf.gov.sg/member/faq/growing-your-savings/retirement-sum-topping-up-scheme/what-are-the-differences-between-topping-up-my-retirement-saving) is applicable to you.
\* Subsequent or duplicate payments made using the same PayNow QR code will be refunded. To ensure that your cash top-ups are processed successfully, please only scan the PayNow QR code and make payment once. You will need to submit a new application each time you wish to make another top-up.",top-up-your-medisave-account-to-save-more-for-healthcare-needs,"How can I top up to myself, my children or my loved ones,  MediSave Account?",https://www.cpf.gov.sg/member/faq/growing-your-savings/top-up-your-medisave-account-to-save-more-for-healthcare-needs/how-to-top-up-to-my-cpf-accounts-or-on-behalf-of-someone-else
"Tax relief is an incentive given to encourage members to build up their healthcare savings for themselves or their immediate family members, particularly older Singaporeans who may have less healthcare savings.
However, your children have longer remaining working lifespans and would have more time to build up their healthcare savings for their own healthcare needs. Hence, there is no tax relief for top-ups made to your children or non-immediate family members.",top-up-your-medisave-account-to-save-more-for-healthcare-needs,Why is there no tax relief for top-ups to the MediSave Account made to my children or non-immediate family?,https://www.cpf.gov.sg/member/faq/growing-your-savings/top-up-your-medisave-account-to-save-more-for-healthcare-needs/no-tax-relief-for-topups-to-medisave-account-made-to-children
"You may login to your CPF account and check the status of your online application under , My Activities, ù. If your top-up application is successful, it will be reflected in your CPF accounts.
If you have made multiple top-up applications, do check the status of all your applications to see which transactions have been successfully processed and make a new application if necessary.",top-up-your-medisave-account-to-save-more-for-healthcare-needs,How can I check the status of my top-up application?,https://www.cpf.gov.sg/member/faq/growing-your-savings/top-up-your-medisave-account-to-save-more-for-healthcare-needs/how-can-i-check-the-status-of-my-top-up-application
"Your top-up via PayNow QR will generally be processed immediately upon successful deduction from your bank account.
If your top-up is not reflected in your CPF accounts, please check your CPF account balance after five working days as more time may be needed to process the transaction.. Such cases are extremely rare and may arise due to intermittent network connectivity issues beyond CPF Board's control.
Please alert us immediately if your payment is still not updated in your CPF account balance after five working days.",top-up-your-medisave-account-to-save-more-for-healthcare-needs,My top-up via PayNow QR is not reflected in my CPF account. Why is my CPF account balance(s) not updated immediately?,https://www.cpf.gov.sg/member/faq/growing-your-savings/top-up-your-medisave-account-to-save-more-for-healthcare-needs/my-top-up-is-not-reflected-in-my-cpf-account-was-the-top-up-unsuccessful
The Workfare Income Supplement (WIS) scheme was introduced in 2007 as a permanent feature of Singapore's social security system. The support is targeted at lower-wage Singaporean workers whose earnings are in the bottom 20% of the working population and is reviewed regularly to ensure that it meets the needs of Singaporeans. The 2023 WIS benefits had been reviewed and enhanced for eligible workers to receive support via cash and CPF contributions to supplement their income and retirement savings.,workfare-for-lower-wage-workers,What is the Workfare Income Supplement (WIS) scheme?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/what-is-the-workfare-income-supplement--wis--scheme-
"You will be eligible for the Workfare Income Supplement (WIS) scheme if you:
* are a Singapore Citizen;
* are at least 30 years old or older on 31 December of the Work Year (WY), or persons with disabilities of any age;
* earn a gross monthly income1of at least $5002, but not more than $2,500 (previously $2,300) for the month worked and in the past 12 months3 (average gross monthly income) as an employee; or have an average monthly income of at least $500, but not more than $2,500 (previously $2,300) as a Self-Employed Person (SEP);
If you are an SEP, you are also required to declare your Net Trade Income (NTI) and make your MediSave contributions to be eligible for WIS. However, you will not be eligible for WIS if you:
* live in a property with an annual value4 of more than $13,000 assessed as at 31 December of the previous year;
* own two or more properties; or
* if you are married,
* you and your spouse together own two or more properties; or
* the assessable income of your spouse exceeds $70,000 for the previous Year of Assessment.
Please refer to this [link](https://www.govpayouts.gov.sg/wf/workfare/login) to find out your WIS eligibility status.
1Includes basic salary and extra wages such as overtime pay, commissions and bonuses
2Persons with disabilities, workers who qualify for ComCare Short-to-Medium-Term Assistance and caregivers of care recipients (generally include caregivers residing with care recipients who are medically certified to have permanent moderate to severe disabilities) will qualify for concessionary WIS, even if they earn less than $500. More details on the concessionary WIS for caregivers will be provided later.
3Defined as income earned in the past 12-month period ƒÇ¬É√ÇÀá Total number of months worked in the past 12-month period
4Annual value is the estimated gross annual rent of the property if it were to be rented out, excluding furniture, furnishings and maintenance fees. It is determined based on estimated market rentals of similar or comparable properties",workfare-for-lower-wage-workers,Am I eligible for the Workfare Income Supplement (WIS) scheme?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/am-i-eligible-for-the-workfare-income-supplement--wis--scheme-
"If you are an employee, you do not need to do anything. Your eligibility for Workfare Income Supplement (WIS) will be automatically assessed based on the CPF contributions\* made by your employer.
If you are a Self-Employed Person (SEP), you will need to:
, ò declare your net trade income to: the Inland Revenue Authority of Singapore (IRAS) if you have been issued an income tax return package; or the CPF Board if you have not been issued an income tax return package, by logging in to the CPF website with your Singpass to complete and submit the [Self-Employed Person Income Declaration Form](https://www.cpf.gov.sg/eSvc/Web/Schemes/IncomeDeclarationBySelfEmployedPersonForMedisaveLiability/LandingPage) by 18 April. After 18 April, please [write to us](https://www.cpf.gov.sg/eSvc/Web/FeedbackSubscription/Index?utm_source=shortURL) for us to process your income declaration; and
, ò make the required MediSave contributions.
\*Under the CPF Act, employers must contribute CPF if their employees earn more than $50 a month, regardless of whether the employee is employed on a permanent, part-time, contract or casual basis. If your employer is not contributing CPF on your behalf, please approach your employer to clarify on the discrepancies. If your employer does not provide you with a satisfactory response, you can [lodge a report](https://www.cpf.gov.sg/member/faq/growing-your-savings/saving-as-an-employee/how-can-i-lodge-a-report-for-non-payment-or-underpayment-of-cpf) with CPF Board.",workfare-for-lower-wage-workers,What do I need to do to receive Workfare Income Supplement (WIS)?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/what-do-i-need-to-do-to-receive-workfare-income-supplement--wis-
"The Workfare Income Supplement (WIS) depends on your age and income. You may use the online, [WIS calculator](https://www.cpf.gov.sg/member/tools-and-services/calculators#section-header-379892678), to estimate the amount of WIS you will receive.
If you are employed
| Age | Maximum Annual WIS |
| --- | --- |
| 2022 | From 2023 |
| 30-34 | Not applicable | $2,100 |
| 35-44 | $1,700 | $3,000 |
| 45-54 | $2,500 | $3,600 |
| 55-59 | $3,300 |
| 60 and above | $4,000 | $4,200 |
| Persons with disabilities will receive the same amount as those who are aged 60 and above. |
If you are self-employed
| Age | Maximum Annual WIS |
| --- | --- |
| 2022 | From 2023 |
| 30-34 | Not applicable | $1,400 |
| 35-44 | $1,133 | $2,000 |
| 45-54 | $1,667 | $2,400 |
| 55-59 | $2,200 |
| 60 and above | $2,667 | $2,800 |
| Persons with disabilities will receive the same amount as those who are aged 60 and above. |",workfare-for-lower-wage-workers,How much Workfare Income Supplement (WIS) will I get?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/how-much-workfare-income-supplement--wis--will-i-get-
"If you are an employee, you will receive 60% of your Workfare Income Supplement (WIS) in CPF contributions and the remaining 40% in cash.
A higher proportion is credited into your Special and MediSave Accounts to boost your retirement and healthcare savings, as savings in these accounts earn up to 5% per annum if you are below 55, and up to 6% per annum if you are 55 or above.
You can refer to the table below on the allocation of the WIS CPF into the three accounts, according to the age bands.
| | | | |
| --- | --- | --- | --- |
| **Age (Years)** | **Ordinary Account** | **MediSave Account** | **Special Account** |
| 35 & below | 0.3000 | 0.3500 | 0.3500 |
| Above 35 - 45 | 0.2856 | 0.3711 | 0.3433 |
| Above 45 , ì 50 | 0.2785 | 0.3816 | 0.3399 |
| Above 50 , ì 55 | 0.2498 | 0.3751 | 0.3751 |
| Above 55 , ì 60 | 0.4315 | 0.4545 | 0.1140 |
| Above 60 , ì 65 | 0.2080 | 0.6384 | 0.1536 |
| Above 65 | 0.0784 | 0.8408 | 0.0808 |
If you are a self-employed person, you will receive 90% of your WIS in your MediSave Account and the remaining 10% in cash.",workfare-for-lower-wage-workers,How much cash and CPF contributions will I receive from the Workfare Income Supplement (WIS) scheme?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/how-much-cash-and-cpf-contributions-will-i-receive-from-the-work
"The Workfare Income Supplement (WIS) scheme supplements the income and CPF savings of lower-income Singaporeans, and encourages them to enter and remain in the labour market.
You will not receive WIS if you are not working. If you require assistance in looking for a job, or are seeking more information on training and skills upgrading under the Workfare Skills Support (WSS) scheme, please contact the Workforce Singapore (WSG) hotline at 6883 5885 or visit their website at [ssg-wsg.gov.sg](https://www.ssg-wsg.gov.sg).",workfare-for-lower-wage-workers,Will I receive Workfare Income Supplement (WIS) if I am unemployed?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/will-i-receive-workfare-income-supplement--wis--if-i-am-unemploy
"Inmates who have worked while serving their sentences may be eligible for the Workfare Income Supplement (WIS) scheme as Self-Employed Persons (SEPs) by making voluntary MediSave contributions based on the income earned during incarceration. The Singapore Prison Service will furnish inmates' work records to the Board in the following year and inmates,  family members may make the MediSave contributions to the Board on behalf of the inmates.",workfare-for-lower-wage-workers,Are inmates eligible for the Workfare Income Supplement (WIS) scheme?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/are-inmates-eligible-for-the-workfare-income-supplement--wis--sc
"The Workfare Income Supplement (WIS) scheme is only for Singaporean lower-wage workers with limited household wealth. If you require financial assistance, please contact the, [ComCare](https://www.msf.gov.sg/what-we-do/comcare) hotline at 1800-222-0000, or email [Ask\_SSO@msf.gov.sg](mailto:Ask_SSO@msf.gov.sg).",workfare-for-lower-wage-workers,Why are Singapore Permanent Residents (PRs) not eligible for the Workfare Income Supplement (WIS) scheme?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/why-are-singapore-permanent-residents--prs--not-eligible-for-the
"To qualify for Workfare Income Supplement, we will calculate your income based on the CPF contributions made by your employer(s) for work done in that month.",workfare-for-lower-wage-workers,How is my income calculated for the Workfare Income Supplement (WIS)?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/how-is-my-income-calculated-for-the-workfare-income-supplement--
"To best support lower-wage workers, the WIS benefits are gradually reduced as the income levels of the workers increase nearer to the qualifying amount of $2,500. The gradual reduction ensures that the lower-wage workers do not see a sharp reduction in their WIS benefits when they upgrade their skills and begin to earn more. Taken together, the total amount of the income and the WIS benefits would still increase overall as one's income increases.",workfare-for-lower-wage-workers,"I am earning close to $2,500, why is my Workfare Income Supplement (WIS) so low?",https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/i-am-earning-close-to--2-300--why-is-my-workfare-income-suppleme
Contract / part-time employees are eligible for the Workfare Income Supplement (WIS) if they meet the [WIS eligibility criteria](/member/faq/growing-your-savings/workfare-for-lower-wage-workers/am-i-eligible-for-the-workfare-income-supplement--wis--scheme-).,workfare-for-lower-wage-workers,I am a contract / part-time employee. Will I be eligible for Workfare Income Supplement?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/i-am-a-contract---part-time-employee--will-i-be-eligible-for-wor
"For the purpose of Workfare Income Supplement (WIS), staff on study/medical/maternity leave will be considered as employees if you are still receiving a salary and CPF contributions from your employers.",workfare-for-lower-wage-workers,I am on no-pay/study/medical/maternity leave. Will I be considered as employed to qualify for Workfare Income Supplement?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/i-am-on-no-pay-study-medical-maternity-leave--will-i-be-consider
"Under the CPF Act, employers must contribute CPF if their employees earn more than $50 a month, regardless of whether the employee is employed on a permanent, part-time, contract or casual basis.
If your employer is not contributing CPF on your behalf, please approach your employer to clarify on the discrepancies. If your employer does not provide you with a satisfactory response, you can [lodge a report](https://www.cpf.gov.sg/member/faq/growing-your-savings/saving-as-an-employee/how-can-i-lodge-a-report-for-non-payment-or-underpayment-of-cpf) with CPF Board.",workfare-for-lower-wage-workers,My employer does not pay my CPF. What can I do to qualify for Workfare Income Supplement (WIS)?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/my-employer-does-not-pay-my-cpf--what-can-i-do-to-qualify-for-wo
"A self-employed person (SEP) is someone who performs work for others under a contract for service.
If you earn an income by buying and selling goods or from providing professional or personal services, you, re an SEP. Examples of SEPs include hawkers, taxi drivers, freelancers, sole proprietors or a partner in a partnership.
Visit the [Inland Revenue Authority of Singapore (IRAS) website](https://www.iras.gov.sg/taxes/individual-income-tax/self-employed/new-to-self-employed-income/am-i-a-self-employed-person) to read more on the definition of an SEP.",workfare-for-lower-wage-workers,Who is a self-employed person?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/who-is-a-self-employed-person--sep--
"A key principle of the Workfare Income Supplement (WIS) scheme is that each recipient has a personal responsibility to save for his future needs, with the government providing additional support. Self-employed persons (SEPs) are required to contribute to their MediSave Accounts as they do not receive regular MediSave contributions from employers. It is important to contribute regularly to ensure enough savings for healthcare needs. This is especially important during old age, when SEPs may have stopped working. WIS is intended to supplement, not replace the MediSave contributions made by the SEPs.",workfare-for-lower-wage-workers,Why must self-employed persons (SEPs) contribute to MediSave to receive Workfare Income Supplement (WIS)?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/why-must-self-employed-persons--seps--contribute-to-medisave-to-
"There are several ways you can contribute to your MediSave. The most convenient way is via GIRO, which allows automatic monthly deductions from your bank account.
| | |
| --- | --- |
| Payment mode | Details |
| GIRO | Using, *my cpf*, digital services (for OCBC/DBS/POSB bank account)1. Log in with your Singpass.
2. Submit the, [Apply / Change GIRO for Mandatory MediSave Contributions and Voluntary Contributions by Self-Employed Person](https://www.cpf.gov.sg/eSvc/Web/Services/GiroApplication/LandingPage?scheme=SE), application.
3. Check the status of your GIRO application via My Activities.
Mail (for other banks)1. Download and complete the [Apply for GIRO for Mandatory Contributions or Voluntary Contributions](https://www.cpf.gov.sg/content/dam/web/member/tools/documents/FORM_GIRO_SEVC.pdf), form (FORM GIRO SE/VC (PDF, 0.6MB)).
2. Mail it to the address printed overleaf of the GIRO application form.
3. We will notify you of your GIRO application status once the bank has processed it.
|
| [e-Cashier](https://www.cpf.gov.sg/eSvc/Web/Miscellaneous/Cashier/ECashierHomepage) | - Make payment via PayNow and your payment will be processed almost immediately. |
| NETS/ CashCard | - Pay by NETS or CashCard at, any SingPost branches |
You may log in with your Singpass to check that your MediSave contribution is reflected in the, [Self-employment dashboard](https://www.cpf.gov.sg/member/ds/dashboards/self-employment), or check the transaction status under, *Transaction*, *History*(if you have paid via e-Cashier).",workfare-for-lower-wage-workers,How can I make my MediSave contributions?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/what-are-the-payment-modes-for-making-medisave-contributions-
"If you have received Form B from the Inland Revenue Authority of Singapore (IRAS), please complete and submit Form B to IRAS directly.
If you did not receive Form B from IRAS, you can declare your self-employed net trade income (NTI) online by logging in to the CPF website with your Singpass to complete and submit the, [Self-Employed Person Income Declaration Form](https://www.cpf.gov.sg/eSvc/Web/Schemes/IncomeDeclarationBySelfEmployedPersonForMedisaveLiability/LandingPage)**by 18 April 2023**.
**From Work Year 2023 (WY2023) onwards**
Your Net Trade Income (NTI) may be declared to the Inland Revenue Authority of Singapore (IRAS) for Work Year 2023 (Year of Assessment 2024) by filing a tax return. IRAS', [myTax Portal](https://mytax.iras.gov.sg/ESVWeb/default.aspx) will be available from 1 March 2024 to 31 October 2024 to e-File a tax return.
Once the Board has received your income declaration, you can check your updated NTI records by logging in to the, [Self-employment dashboard](https://www.cpf.gov.sg/member/ds/dashboards/self-employment), with your Singpass.",workfare-for-lower-wage-workers,How do I declare my annual net trade income online as a self-employed person?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/how-can-i-declare-my-income-as-a-self-employed-person-
"The incomes of employees are automatically computed based on their monthly CPF contributions from their employers. This enables CPF Board to assess their Workfare Income Supplement (WIS) eligibility automatically and disburse their WIS on a monthly basis. On the other hand, the net trade income (NTI) of a Self-Employed Person (SEP) is assessed over an entire year and can only be determined the following year after the current year has ended.",workfare-for-lower-wage-workers,Why do employees receive monthly Workfare Income Supplement (WIS) payments while Self-Employed Persons receive their WIS once a year?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/why-do-employees-receive-monthly-workfare-income-supplement--wis
"The CPF contribution made by Self-Employed Persons (SEPs) is comparatively less than employees who earn the same amount. SEPs are only required to contribute to their MediSave Account whereas employees need to contribute to all their CPF Accounts (Ordinary, Special and MediSave Accounts).",workfare-for-lower-wage-workers,Why do Self-Employed Persons receive only two-thirds of the Workfare Income Supplement (WIS) received by employees?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/why-do-self-employed-persons-receive-only-two-thirds-of-the-work
"Allowances received for carrying out family support roles such as babysitting and caregiving for dependants are considered transfers within the family. They are not external sources of income derived from employment, hence it would not be appropriate to consider these transfers for Workfare Income Supplement scheme. The Government recognises that such family roles are important. There are other forms of government support for these roles, such as the [Marriage and Parenthood package](https://go.gov.sg/mpbooklet), which provides broad-based support for couples to raise and care for their children.",workfare-for-lower-wage-workers,I am a homemaker/caregiver/babysitter. Can I qualify for the Workfare Income Supplement (WIS) scheme?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/i-am-a-homemaker-caregiver-babysitter--can-i-qualify-for-the-wor
"To qualify for Workfare Income Supplement (WIS) scheme, please declare your net trade income as a self-employed person and contribute to your MediSave Account. You will also need to meet the [WIS eligibility criteria](/member/faq/growing-your-savings/workfare-for-lower-wage-workers/am-i-eligible-for-the-workfare-income-supplement--wis--scheme-) in order to qualify for WIS. To conduct a home business, you need to follow the guidelines under HDB's Home-Based Small-Scale Business Scheme. Please refer to the [Housing & Development Board's website](http://www.hdb.gov.sg/cs/infoweb/residential/living-in-an-hdb-flat/home-business) for more information.",workfare-for-lower-wage-workers,"I am a freelancer/conducting a home business (e.g. baking, sewing). Can I qualify for the Workfare Income Supplement (WIS) scheme?",https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/i-am-a-freelancer-conducting-a-home-business--e-g--baking--sewin
Workfare Income Supplement (WIS) is based on your actual net trade income earned in the work year and does not include previous year's losses.,workfare-for-lower-wage-workers,My net trade income in a work year was negative. Can I trade the losses to offset my income in the following year to qualify for the Workfare Income Supplement (WIS) scheme?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/my-annual-net-trade-income-in-a-work-year-was-negative--can-i-tr
Contributions made each month will be updated in e-Services on the 9th working day of the following month.,workfare-for-lower-wage-workers,"I have made the required MediSave contribution to qualify for Workfare Income Supplement, why is my payment still not reflected in the MediSave Payable page after logging into e-Services?",https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/i-have-made-the-required-medisave-contribution-to-qualify-for-wo
"You will receive monthly Workfare Income Supplement (WIS) payments based on your employee income if you meet the WIS eligibility criteria for the work year (WY).
If you are also an eligible dual status worker (DSW) who has worked concurrently as an SEP and employee in the year, you may receive additional WIS if your combined employment and net trade income results in a higher WIS payment. You will receive the additional WIS payment after you have declared your income and made the required MediSave contributions.
You will receive WIS once a year for work done as an SEP in the preceding year. The earliest payment for SEPs/DSWs for a particular WY will be on 30 April WY+1\*.
\*Payment via PayNow NRIC-linked bank account or bank crediting will be credited by end of the month while payment via GovCash will be on the 3rd of the following month.",workfare-for-lower-wage-workers,I worked as both an employee as well as a self-employed person (SEP) in the work year. When will I receive my Workfare Income Supplement (WIS) for the work year?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/i-worked-as-both-an-employee-as-well-as-a-self-employed-person--
"Employee income is based on the definition of Gross Wages under the CPF Act:
Total Gross Wages = Total Ordinary Wages + Total Additional Wages
Where:
Ordinary Wages (OW) are wages due or granted wholly or exclusively in respect of an employee's employment in that month, and payable before the due date for payment of CPF contributions for that month e.g. monthly salary.
Wages which are not classified as OW will be Additional Wages (AW) for the month e.g. annual performance bonus.
Total Wages are the total amount of an employee's wages for any calendar month, which is the sum of his OW for the month and the AW paid to him in that month.",workfare-for-lower-wage-workers,"To qualify for Workfare Income Supplement (WIS), what is considered income?",https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/to-qualify-for-workfare-income-supplement--wis---what-is-conside
"The 12-month average gross monthly income is defined as:
*Sum of income earned in the past 12-month period ƒÇ¬É√ÇÀá Total number of months worked in the past 12-month period*
To qualify for WIS:
a) Your 12-month average gross monthly income must not exceed $2,500; and
b) Your gross monthly income must not exceed $2,500.",workfare-for-lower-wage-workers,How is the 12-month average monthly income (AMI) criterion computed?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/how-is-the-12-month-average-monthly-income--ami--criterion-compu
"Annual Value (AV) is the estimated gross annual rent of the property if it were to be rented out, excluding furniture, furnishings and maintenance fees. It is determined based on estimated market rentals of similar or comparable properties. It can be found on the property tax bill you receive each year.
AV serves as a housing criterion that targets lower-wage workers from lower income households. Using AV instead of housing type is a fairer way to determine property value as some applicants may be staying in smaller and less expensive private properties with an AV similar to a larger Housing & Development Board flat.
For more information on the computation of AV, please visit the [Inland Revenue Authority of Singapore (IRAS) website](https://www.iras.gov.sg/irashome/Property/Property-owners/Learning-the-basics/About-Annual-Value/).",workfare-for-lower-wage-workers,What is the Annual Value (AV) of a property and why is the AV of my place of residence used to assess my eligibility for Workfare Income Supplement (WIS)?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/what-is-the-annual-value--av--of-a-property-and-why-is-the-av-of
"The Annual Value (AV) threshold of $13,000 covers all HDB flats, as well as some smaller private residences. In general, Singaporeans staying in larger properties with AV above the cut-off tend to have greater access to household wealth, and therefore would not be eligible for the Workfare Income Supplement (WIS) scheme.
The AV will be based on the address reflected in your NRIC. Under the National Registration Act, you must report a change of address within 28 days of moving at the Immigration & Checkpoints Authority (ICA) [website](https://www.ica.gov.sg/documents/ic/update_residential_address).",workfare-for-lower-wage-workers,How is the Annual Value (AV) requirement for Workfare Income Supplement (WIS) decided and what address is used to determine the AV in WIS?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/how-is-the-annual-value--av--requirement-for-workfare-income-sup
"All types of properties e.g. Housing & Development Board flat, private property and non-residential property, are taken into account in determining the eligibility for Workfare Income Supplement (WIS) scheme.",workfare-for-lower-wage-workers,What constitutes a second property for Workfare Income Supplement (WIS) scheme?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/what-constitutes-a-second-property-for-workfare-income-supplemen
"If you are renting the entire property unit, the annual value of that property unit will be used to assess your eligibility.
If you are renting only a room or some rooms in the property, please [write to us](https://www.cpf.gov.sg/member/contact-us/write-to-us) with your tenancy agreement and particulars (name, NRIC, telephone number, address and the nature of your appeal).
You can also write to us via [My Mailbox](https://www.cpf.gov.sg/eSvc/Web/Services/MyMailbox/MyMailboxLanding) (Singpass required) and skip the hassle of keying in your personal particulars.
We will review your WIS eligibility after we have received your request and the supporting documents.",workfare-for-lower-wage-workers,I am renting a room/whole unit in the property that I stay in. Am I eligible for Workfare Income Supplement (WIS)?,https://www.cpf.gov.sg/member/faq/growing-your-savings/workfare-for-lower-wage-workers/i-am-renting-a-room-whole-unit-in-the-property-that-i-stay-in--a
